"ImageScalars","FlowMap:0","FlowMap:1","FlowMap:2","FTLE","seeded","Result_X"
0,0,0,0.5,1.775,1,1.2624
0,1.2041,0,0.5,1.2384,1,0.098933
0,1.4082,0,0.5,-2.4063e-08,1,1.971
0,1.6122,0,0.5,-2.4063e-08,1,0.2787
0,1.8163,0,0.5,1.0752e-07,1,1.4338
0,2.0204,0,0.5,-2.4063e-08,1,0.74449
0,2.2245,0,0.5,1.0752e-07,1,1.2325
0,2.4286,0,0.5,1.0752e-07,1,0.63144
0,2.6327,0,0.5,1.0752e-07,1,1.6341
0,2.8367,0,0.5,1.361,1,0.082027
0,1.0408,0,0.5,1.361,1,1.9726
0,1.2449,0,0.5,1.0752e-07,1,0.49724
0,1.449,0,0.5,1.0752e-07,1,0.5659
0,1.6531,0,0.5,-2.4063e-08,1,1.9998
0,1.8571,0,0.5,-2.4063e-08,1,0.76122
0,2.0612,0,0.5,3.9941e-07,1,0.056012
0,2.2653,0,0.5,1.775,1,1.2618
0,4.4694,0,0.5,1.775,1,1.9996
0,4.6735,0,0.5,6.9134e-07,1,1.3689
0,4.8776,0,0.5,-2.38e-08,1,0.41749
0,5.0816,0,0.5,-2.38e-08,1,0.0067206
0,5.2857,0,0.5,1.361,1,0.14768
0,3.4898,0,0.5,1.361,1,0.50259
0,3.6939,0,0.5,1.0752e-07,1,0.81367
0,3.898,0,0.5,1.0752e-07,1,0.97918
0,4.102,0,0.5,-2.38e-08,1,0.97918
0,4.3061,0,0.5,1.775,1,0.81367
0,6.5102,0,0.5,1.775,1,0.50259
0,6.7143,0,0.5,-2.38e-08,1,0.14768
0,6.9184,0,0.5,-2.38e-08,1,0.0067206
0,7.1224,0,0.5,-2.38e-08,1,0.41749
0,7.3265,0,0.5,1.361,1,1.3689
0,5.5306,0,0.5,1.361,1,1.9996
0,5.7347,0,0.5,-2.38e-08,1,1.2618
0,5.9388,0,0.5,-2.38e-08,1,0.056012
0,6.1429,0,0.5,-2.38e-08,1,0.76122
0,6.3469,0,0.5,1.775,1,1.9998
0,8.551,0,0.5,1.775,1,0.5659
0,8.7551,0,0.5,-2.38e-08,1,0.49724
0,8.9592,0,0.5,-2.38e-08,1,1.9726
0,9.1633,0,0.5,-2.38e-08,1,0.082027
0,9.3673,0,0.5,1.361,1,1.6341
0,7.5714,0,0.5,1.361,1,0.63144
0,7.7755,0,0.5,-2.38e-08,1,1.2325
0,7.9796,0,0.5,6.9134e-07,1,0.74449
0,8.1837,0,0.5,6.9134e-07,1,1.4338
0,8.3878,0,0.5,1.775,1,0.2787
0,10.592,0,0.5,1.775,1,1.971
0,10.796,0,0.5,-2.38e-08,1,0.098933
5.1488e-246,11,0,0.5,-2.38e-08,1,1.2624
0,0,0.20833,0.5,1.775,1,1.2624
0,1.2041,0.20833,0.5,1.2384,1,0.098933
0,1.4082,0.20833,0.5,-2.4063e-08,1,1.971
0,1.6122,0.20833,0.5,-2.4063e-08,1,0.2787
0,1.8163,0.20833,0.5,1.0752e-07,1,1.4338
0,2.0204,0.20833,0.5,-2.4063e-08,1,0.74449
0,2.2245,0.20833,0.5,1.0752e-07,1,1.2325
0,2.4286,0.20833,0.5,1.0752e-07,1,0.63144
0,2.6327,0.20833,0.5,1.0752e-07,1,1.6341
0,2.8367,0.20833,0.5,1.361,1,0.082027
0,1.0408,0.20833,0.5,1.361,1,1.9726
0,1.2449,0.20833,0.5,1.0752e-07,1,0.49724
0,1.449,0.20833,0.5,1.0752e-07,1,0.5659
0,1.6531,0.20833,0.5,-2.4063e-08,1,1.9998
0,1.8571,0.20833,0.5,-2.4063e-08,1,0.76122
0,2.0612,0.20833,0.5,3.9941e-07,1,0.056012
0,2.2653,0.20833,0.5,1.775,1,1.2618
0,4.4694,0.20833,0.5,1.775,1,1.9996
0,4.6735,0.20833,0.5,6.9134e-07,1,1.3689
0,4.8776,0.20833,0.5,-2.38e-08,1,0.41749
0,5.0816,0.20833,0.5,-2.38e-08,1,0.0067206
0,5.2857,0.20833,0.5,1.361,1,0.14768
0,3.4898,0.20833,0.5,1.361,1,0.50259
0,3.6939,0.20833,0.5,1.0752e-07,1,0.81367
0,3.898,0.20833,0.5,1.0752e-07,1,0.97918
0,4.102,0.20833,0.5,-2.38e-08,1,0.97918
0,4.3061,0.20833,0.5,1.775,1,0.81367
0,6.5102,0.20833,0.5,1.775,1,0.50259
0,6.7143,0.20833,0.5,-2.38e-08,1,0.14768
0,6.9184,0.20833,0.5,-2.38e-08,1,0.0067206
0,7.1224,0.20833,0.5,-2.38e-08,1,0.41749
0,7.3265,0.20833,0.5,1.361,1,1.3689
0,5.5306,0.20833,0.5,1.361,1,1.9996
0,5.7347,0.20833,0.5,-2.38e-08,1,1.2618
0,5.9388,0.20833,0.5,-2.38e-08,1,0.056012
0,6.1429,0.20833,0.5,-2.38e-08,1,0.76122
0,6.3469,0.20833,0.5,1.775,1,1.9998
0,8.551,0.20833,0.5,1.775,1,0.5659
0,8.7551,0.20833,0.5,-2.38e-08,1,0.49724
0,8.9592,0.20833,0.5,-2.38e-08,1,1.9726
0,9.1633,0.20833,0.5,-2.38e-08,1,0.082027
0,9.3673,0.20833,0.5,1.361,1,1.6341
0,7.5714,0.20833,0.5,1.361,1,0.63144
0,7.7755,0.20833,0.5,-2.38e-08,1,1.2325
0,7.9796,0.20833,0.5,6.9134e-07,1,0.74449
0,8.1837,0.20833,0.5,6.9134e-07,1,1.4338
0,8.3878,0.20833,0.5,1.775,1,0.2787
0,10.592,0.20833,0.5,1.775,1,1.971
0,10.796,0.20833,0.5,-2.38e-08,1,0.098933
8.8687e-241,11,0.20833,0.5,-2.38e-08,1,1.2624
0,0,0.41667,0.5,1.775,1,1.2624
0,1.2041,0.41667,0.5,1.7998,1,0.098933
0,1.4082,0.41667,0.5,1.6285,1,1.971
0,1.6122,0.41667,0.5,1.6285,1,0.2787
0,1.8163,0.41667,0.5,1.6285,1,1.4338
0,2.0204,0.41667,0.5,1.6285,1,0.74449
0,2.2245,0.41667,0.5,1.6285,1,1.2325
0,2.4286,0.41667,0.5,1.6285,1,0.63144
0,2.6327,0.41667,0.5,1.6285,1,1.6341
0,2.8367,0.41667,0.5,1.8424,1,0.082027
0,1.0408,0.41667,0.5,1.8424,1,1.9726
0,1.2449,0.41667,0.5,1.6285,1,0.49724
0,1.449,0.41667,0.5,1.6285,1,0.5659
0,1.6531,0.41667,0.5,1.6285,1,1.9998
0,1.8571,0.41667,0.5,1.6285,1,0.76122
0,2.0612,0.41667,0.5,1.6285,1,0.056012
0,2.2653,0.41667,0.5,2.0407,1,1.2618
0,4.4694,0.41667,0.5,2.0407,1,1.9996
0,4.6735,0.41667,0.5,1.6285,1,1.3689
0,4.8776,0.41667,0.5,1.6285,1,0.41749
0,5.0816,0.41667,0.5,1.6285,1,0.0067206
0,5.2857,0.41667,0.5,1.8424,1,0.14768
0,3.4898,0.41667,0.5,1.8424,1,0.50259
0,3.6939,0.41667,0.5,1.6285,1,0.81367
0,3.898,0.41667,0.5,1.6285,1,0.97918
0,4.102,0.41667,0.5,1.6285,1,0.97918
0,4.3061,0.41667,0.5,2.0407,1,0.81367
0,6.5102,0.41667,0.5,2.0407,1,0.50259
0,6.7143,0.41667,0.5,1.6285,1,0.14768
0,6.9184,0.41667,0.5,1.6285,1,0.0067206
0,7.1224,0.41667,0.5,1.6285,1,0.41749
0,7.3265,0.41667,0.5,1.8424,1,1.3689
0,5.5306,0.41667,0.5,1.8424,1,1.9996
0,5.7347,0.41667,0.5,1.6285,1,1.2618
0,5.9388,0.41667,0.5,1.6285,1,0.056012
0,6.1429,0.41667,0.5,1.6285,1,0.76122
0,6.3469,0.41667,0.5,2.0407,1,1.9998
0,8.551,0.41667,0.5,2.0407,1,0.5659
0,8.7551,0.41667,0.5,1.6285,1,0.49724
0,8.9592,0.41667,0.5,1.6285,1,1.9726
0,9.1633,0.41667,0.5,1.6285,1,0.082027
0,9.3673,0.41667,0.5,1.8424,1,1.6341
0,7.5714,0.41667,0.5,1.8424,1,0.63144
0,7.7755,0.41667,0.5,1.6285,1,1.2325
0,7.9796,0.41667,0.5,1.6285,1,0.74449
0,8.1837,0.41667,0.5,1.6285,1,1.4338
0,8.3878,0.41667,0.5,2.0407,1,0.2787
0,10.592,0.41667,0.5,2.0407,1,1.971
0,10.796,0.41667,0.5,1.6285,1,0.098933
8.0636e-313,11,0.41667,0.5,1.6285,1,1.2624
0,0,0.625,0.5,1.361,1,1.2624
0,-0.79592,0.625,0.5,1.6486,1,0.098933
0,-0.59184,0.625,0.5,1.6285,1,1.971
0,-0.38776,0.625,0.5,1.6285,1,0.2787
0,-0.18367,0.625,0.5,1.6285,1,1.4338
0,0.020408,0.625,0.5,1.6285,1,0.74449
0,0.22449,0.625,0.5,1.6285,1,1.2325
0,0.42857,0.625,0.5,1.6285,1,0.63144
0,0.63265,0.625,0.5,1.6285,1,1.6341
0,0.83673,0.625,0.5,2.0407,1,0.082027
0,3.0408,0.625,0.5,2.0407,1,1.9726
0,3.2449,0.625,0.5,1.6285,1,0.49724
0,3.449,0.625,0.5,1.6285,1,0.5659
0,3.6531,0.625,0.5,1.6285,1,1.9998
0,3.8571,0.625,0.5,1.6285,1,0.76122
0,4.0612,0.625,0.5,1.6285,1,0.056012
0,4.2653,0.625,0.5,1.8424,1,1.2618
0,2.4694,0.625,0.5,1.8424,1,1.9996
0,2.6735,0.625,0.5,1.6285,1,1.3689
0,2.8776,0.625,0.5,1.6285,1,0.41749
0,3.0816,0.625,0.5,1.6285,1,0.0067206
0,3.2857,0.625,0.5,2.0407,1,0.14768
0,5.4898,0.625,0.5,2.0407,1,0.50259
0,5.6939,0.625,0.5,1.6285,1,0.81367
0,5.898,0.625,0.5,1.6285,1,0.97918
0,6.102,0.625,0.5,1.6285,1,0.97918
0,6.3061,0.625,0.5,1.8424,1,0.81367
0,4.5102,0.625,0.5,1.8424,1,0.50259
0,4.7143,0.625,0.5,1.6285,1,0.14768
0,4.9184,0.625,0.5,1.6285,1,0.0067206
0,5.1224,0.625,0.5,1.6285,1,0.41749
0,5.3265,0.625,0.5,2.0407,1,1.3689
0,7.5306,0.625,0.5,2.0407,1,1.9996
0,7.7347,0.625,0.5,1.6285,1,1.2618
0,7.9388,0.625,0.5,1.6285,1,0.056012
0,8.1429,0.625,0.5,1.6285,1,0.76122
0,8.3469,0.625,0.5,1.8424,1,1.9998
0,6.551,0.625,0.5,1.8424,1,0.5659
0,6.7551,0.625,0.5,1.6285,1,0.49724
0,6.9592,0.625,0.5,1.6285,1,1.9726
0,7.1633,0.625,0.5,1.6285,1,0.082027
0,7.3673,0.625,0.5,2.0407,1,1.6341
0,9.5714,0.625,0.5,2.0407,1,0.63144
0,9.7755,0.625,0.5,1.6285,1,1.2325
0,9.9796,0.625,0.5,1.6285,1,0.74449
0,10.184,0.625,0.5,1.6285,1,1.4338
0,10.388,0.625,0.5,1.8424,1,0.2787
0,8.5918,0.625,0.5,1.8424,1,1.971
0,8.7959,0.625,0.5,1.6285,1,0.098933
-1.1888e-42,9,0.625,0.5,1.6285,1,1.2624
0,0,0.83333,0.5,1.361,1,1.2624
0,-0.79592,0.83333,0.5,0.37156,1,0.098933
0,-0.59184,0.83333,0.5,-3.8684e-08,1,1.971
0,-0.38776,0.83333,0.5,3.4405e-08,1,0.2787
0,-0.18367,0.83333,0.5,-1.5871e-08,1,1.4338
0,0.020408,0.83333,0.5,-2.2724e-09,1,0.74449
0,0.22449,0.83333,0.5,1.1252e-08,1,1.2325
0,0.42857,0.83333,0.5,-2.2724e-09,1,0.63144
0,0.63265,0.83333,0.5,3.4405e-08,1,1.6341
0,0.83673,0.83333,0.5,1.775,1,0.082027
0,3.0408,0.83333,0.5,1.775,1,1.9726
0,3.2449,0.83333,0.5,1.0757e-07,1,0.49724
0,3.449,0.83333,0.5,1.0757e-07,1,0.5659
0,3.6531,0.83333,0.5,1.0757e-07,1,1.9998
0,3.8571,0.83333,0.5,1.0757e-07,1,0.76122
0,4.0612,0.83333,0.5,-9.5347e-08,1,0.056012
0,4.2653,0.83333,0.5,1.361,1,1.2618
0,2.4694,0.83333,0.5,1.361,1,1.9996
0,2.6735,0.83333,0.5,1.0757e-07,1,1.3689
0,2.8776,0.83333,0.5,1.0757e-07,1,0.41749
0,3.0816,0.83333,0.5,1.0757e-07,1,0.0067206
0,3.2857,0.83333,0.5,1.775,1,0.14768
0,5.4898,0.83333,0.5,1.775,1,0.50259
0,5.6939,0.83333,0.5,6.9142e-07,1,0.81367
0,5.898,0.83333,0.5,-9.5347e-08,1,0.97918
0,6.102,0.83333,0.5,-9.5347e-08,1,0.97918
0,6.3061,0.83333,0.5,1.361,1,0.81367
0,4.5102,0.83333,0.5,1.361,1,0.50259
0,4.7143,0.83333,0.5,-9.5347e-08,1,0.14768
0,4.9184,0.83333,0.5,-9.5347e-08,1,0.0067206
0,5.1224,0.83333,0.5,-9.5347e-08,1,0.41749
0,5.3265,0.83333,0.5,1.775,1,1.3689
0,7.5306,0.83333,0.5,1.775,1,1.9996
0,7.7347,0.83333,0.5,-9.5347e-08,1,1.2618
0,7.9388,0.83333,0.5,6.9142e-07,1,0.056012
0,8.1429,0.83333,0.5,6.9142e-07,1,0.76122
0,8.3469,0.83333,0.5,1.361,1,1.9998
0,6.551,0.83333,0.5,1.361,1,0.5659
0,6.7551,0.83333,0.5,-9.5347e-08,1,0.49724
0,6.9592,0.83333,0.5,-9.5347e-08,1,1.9726
0,7.1633,0.83333,0.5,-9.5347e-08,1,0.082027
0,7.3673,0.83333,0.5,1.775,1,1.6341
0,9.5714,0.83333,0.5,1.775,1,0.63144
0,9.7755,0.83333,0.5,-9.5347e-08,1,1.2325
0,9.9796,0.83333,0.5,1.8597e-06,1,0.74449
0,10.184,0.83333,0.5,1.8597e-06,1,1.4338
0,10.388,0.83333,0.5,1.361,1,0.2787
0,8.5918,0.83333,0.5,1.361,1,1.971
0,8.7959,0.83333,0.5,-9.5347e-08,1,0.098933
-4.5086e-120,9,0.83333,0.5,-9.5347e-08,1,1.2624
0,0,1.0417,0.5,1.361,1,1.2624
0,-0.79592,1.0417,0.5,0.37156,1,0.098933
0,-0.59184,1.0417,0.5,4.7271e-08,1,1.971
0,-0.38776,1.0417,0.5,5.1515e-08,1,0.2787
0,-0.18367,1.0417,0.5,4.8355e-08,1,1.4338
0,0.020408,1.0417,0.5,4.6285e-08,1,0.74449
0,0.22449,1.0417,0.5,4.9282e-08,1,1.2325
0,0.42857,1.0417,0.5,4.6285e-08,1,0.63144
0,0.63265,1.0417,0.5,5.1515e-08,1,1.6341
0,0.83673,1.0417,0.5,1.775,1,0.082027
0,3.0408,1.0417,0.5,1.775,1,1.9726
0,3.2449,1.0417,0.5,1.0729e-07,1,0.49724
0,3.449,1.0417,0.5,1.0729e-07,1,0.5659
0,3.6531,1.0417,0.5,1.0729e-07,1,1.9998
0,3.8571,1.0417,0.5,1.0729e-07,1,0.76122
0,4.0612,1.0417,0.5,4.768e-08,1,0.056012
0,4.2653,1.0417,0.5,1.361,1,1.2618
0,2.4694,1.0417,0.5,1.361,1,1.9996
0,2.6735,1.0417,0.5,1.0729e-07,1,1.3689
0,2.8776,1.0417,0.5,1.0729e-07,1,0.41749
0,3.0816,1.0417,0.5,1.0729e-07,1,0.0067206
0,3.2857,1.0417,0.5,1.775,1,0.14768
0,5.4898,1.0417,0.5,1.775,1,0.50259
0,5.6939,1.0417,0.5,6.9148e-07,1,0.81367
0,5.898,1.0417,0.5,4.768e-08,1,0.97918
0,6.102,1.0417,0.5,4.768e-08,1,0.97918
0,6.3061,1.0417,0.5,1.361,1,0.81367
0,4.5102,1.0417,0.5,1.361,1,0.50259
0,4.7143,1.0417,0.5,4.768e-08,1,0.14768
0,4.9184,1.0417,0.5,4.768e-08,1,0.0067206
0,5.1224,1.0417,0.5,4.768e-08,1,0.41749
0,5.3265,1.0417,0.5,1.775,1,1.3689
0,7.5306,1.0417,0.5,1.775,1,1.9996
0,7.7347,1.0417,0.5,4.768e-08,1,1.2618
0,7.9388,1.0417,0.5,6.9148e-07,1,0.056012
0,8.1429,1.0417,0.5,6.9148e-07,1,0.76122
0,8.3469,1.0417,0.5,1.361,1,1.9998
0,6.551,1.0417,0.5,1.361,1,0.5659
0,6.7551,1.0417,0.5,4.768e-08,1,0.49724
0,6.9592,1.0417,0.5,4.768e-08,1,1.9726
0,7.1633,1.0417,0.5,4.768e-08,1,0.082027
0,7.3673,1.0417,0.5,1.775,1,1.6341
0,9.5714,1.0417,0.5,1.775,1,0.63144
0,9.7755,1.0417,0.5,4.768e-08,1,1.2325
0,9.9796,1.0417,0.5,1.8596e-06,1,0.74449
0,10.184,1.0417,0.5,1.8596e-06,1,1.4338
0,10.388,1.0417,0.5,1.361,1,0.2787
0,8.5918,1.0417,0.5,1.361,1,1.971
0,8.7959,1.0417,0.5,4.768e-08,1,0.098933
1.2823e-319,9,1.0417,0.5,4.768e-08,1,1.2624
0,0,1.25,0.5,1.361,1,1.2624
0,-0.79592,1.25,0.5,0.37156,1,0.098933
0,-0.59184,1.25,0.5,1.907e-07,1,1.971
0,-0.38776,1.25,0.5,1.9029e-07,1,0.2787
0,-0.18367,1.25,0.5,1.9091e-07,1,1.4338
0,0.020408,1.25,0.5,1.9111e-07,1,0.74449
0,0.22449,1.25,0.5,1.905e-07,1,1.2325
0,0.42857,1.25,0.5,1.9111e-07,1,0.63144
0,0.63265,1.25,0.5,1.9029e-07,1,1.6341
0,0.83673,1.25,0.5,1.775,1,0.082027
0,3.0408,1.25,0.5,1.775,1,1.9726
0,3.2449,1.25,0.5,1.9049e-07,1,0.49724
0,3.449,1.25,0.5,1.9049e-07,1,0.5659
0,3.6531,1.25,0.5,1.9049e-07,1,1.9998
0,3.8571,1.25,0.5,1.9049e-07,1,0.76122
0,4.0612,1.25,0.5,1.9073e-07,1,0.056012
0,4.2653,1.25,0.5,1.361,1,1.2618
0,2.4694,1.25,0.5,1.361,1,1.9996
0,2.6735,1.25,0.5,1.9049e-07,1,1.3689
0,2.8776,1.25,0.5,1.9049e-07,1,0.41749
0,3.0816,1.25,0.5,1.9049e-07,1,0.0067206
0,3.2857,1.25,0.5,1.775,1,0.14768
0,5.4898,1.25,0.5,1.775,1,0.50259
0,5.6939,1.25,0.5,6.9131e-07,1,0.81367
0,5.898,1.25,0.5,1.9073e-07,1,0.97918
0,6.102,1.25,0.5,1.9073e-07,1,0.97918
0,6.3061,1.25,0.5,1.361,1,0.81367
0,4.5102,1.25,0.5,1.361,1,0.50259
0,4.7143,1.25,0.5,1.9073e-07,1,0.14768
0,4.9184,1.25,0.5,1.9073e-07,1,0.0067206
0,5.1224,1.25,0.5,1.9073e-07,1,0.41749
0,5.3265,1.25,0.5,1.775,1,1.3689
0,7.5306,1.25,0.5,1.775,1,1.9996
0,7.7347,1.25,0.5,1.9073e-07,1,1.2618
0,7.9388,1.25,0.5,6.9131e-07,1,0.056012
0,8.1429,1.25,0.5,6.9131e-07,1,0.76122
0,8.3469,1.25,0.5,1.361,1,1.9998
0,6.551,1.25,0.5,1.361,1,0.5659
0,6.7551,1.25,0.5,1.9073e-07,1,0.49724
0,6.9592,1.25,0.5,1.9073e-07,1,1.9726
0,7.1633,1.25,0.5,1.9073e-07,1,0.082027
0,7.3673,1.25,0.5,1.775,1,1.6341
0,9.5714,1.25,0.5,1.775,1,0.63144
0,9.7755,1.25,0.5,1.9073e-07,1,1.2325
0,9.9796,1.25,0.5,1.8597e-06,1,0.74449
0,10.184,1.25,0.5,1.8597e-06,1,1.4338
0,10.388,1.25,0.5,1.361,1,0.2787
0,8.5918,1.25,0.5,1.361,1,1.971
0,8.7959,1.25,0.5,1.9073e-07,1,0.098933
-6.381e-308,9,1.25,0.5,1.9073e-07,1,1.2624
0,0,1.4583,0.5,1.361,1,1.2624
0,-0.79592,1.4583,0.5,1.6486,1,0.098933
0,-0.59184,1.4583,0.5,1.6285,1,1.971
0,-0.38776,1.4583,0.5,1.6285,1,0.2787
0,-0.18367,1.4583,0.5,1.6285,1,1.4338
0,0.020408,1.4583,0.5,1.6285,1,0.74449
0,0.22449,1.4583,0.5,1.6285,1,1.2325
0,0.42857,1.4583,0.5,1.6285,1,0.63144
0,0.63265,1.4583,0.5,1.6285,1,1.6341
0,0.83673,1.4583,0.5,2.0407,1,0.082027
0,3.0408,1.4583,0.5,2.0407,1,1.9726
0,3.2449,1.4583,0.5,1.6285,1,0.49724
0,3.449,1.4583,0.5,1.6285,1,0.5659
0,3.6531,1.4583,0.5,1.6285,1,1.9998
